放牛班的春天·中文版,7.1,672,Joseph Graves/监制Christophe Barratier/克里斯托夫/Joseph Graves/监制Christophe Barratier/克里斯托夫/,https://www.douban.com/location/drama/30443551/
四月望雨,,,符宏征/,https://www.douban.com/location/drama/26301377/
天堂边缘,,,李建常/王友輝/李建常/王友輝/,https://www.douban.com/location/drama/24284490/
音乐之声,8.5,1933,Vincent J. Donehue/未知/Jerome Whyte/James/Susan H. Schulman/Vincent J. Donehue/未知/Jerome Whyte/未知/未知/未知/未知/James/未知/Susan H. Schulman/Susan Schulman/Renaud Doucet/未知/Staffan Götestam/Richard Hamburger/John Yost/未知/未知/西田直木/未知/未知/未知/Jeremy Sams/Joseph Graves/未知/Johnny Bowles/Joseph Graves/,https://www.douban.com/location/drama/10944528/
音乐之声中文版,,,不详/,https://www.douban.com/location/drama/34963776/
律·诗—雷经天,7.2,26,陈天然/,https://www.douban.com/location/drama/26782715/
梵高 中文版,6.2,47,金圭钟（原版）/,https://www.douban.com/location/drama/33380369/
帅小伙的蔬果店,6.5,50,刘晓邑/,https://www.douban.com/location/drama/34907490/
恋爱吧！人类,7.0,926,马达/于晓璘/马达/于晓璘/于晓璘/马达/,https://www.douban.com/location/drama/30308617/
醉后赢家,6.9,90,马达/,https://www.douban.com/location/drama/34872693/
寻找初恋,7.7,641,武雨泽/武雨泽/武雨泽/武雨泽/,https://www.douban.com/location/drama/24536706/
爷们儿,7.3,1730,吴昱翰/吴昱翰/吴昱翰/吴昱翰/,https://www.douban.com/location/drama/24840528/
小岛往事,,,凯蒂·坎贝尔/,https://www.douban.com/location/drama/34649337/
一步登天,6.7,797,阿比.布若斯（Abe Burrows）/Des McAnuff/Rob Ashford/约瑟夫•格雷夫斯 (Joseph Graves)/酒井澄夫/阿比.布若斯（Abe Burrows）/Des McAnuff/Rob Ashford/约瑟夫•格雷夫斯 (Joseph Graves)/酒井澄夫/,https://www.douban.com/location/drama/10944531/
人鱼公主·海洋之歌,,,黄凯/杨梓艺/,https://www.douban.com/location/drama/30433319/
灰姑娘·美丽转身,,,通拉嘎/赵云雪/,https://www.douban.com/location/drama/30439565/
绿鸟,7.6,23,Victoria Newlyn/Victoria Newlyn/Victoria Newlyn/,https://www.douban.com/location/drama/30352515/
楼兰,5.6,18,马良/,https://www.douban.com/location/drama/24380731/
音乐剧明星集锦音乐会,,,Bjorn Dobbelaere/,https://www.douban.com/location/drama/34952539/
神秘的糖果工厂,8.6,75,Joe Barros/,https://www.douban.com/location/drama/30271975/
领带与高跟鞋,,,罗北安/王洋（特邀）/罗北安/罗北安/罗北安/王洋（特邀）/,https://www.douban.com/location/drama/10944692/
Mini Lover,6.3,366,朱峰/付翔/汪海刚/姜柏任（执行导演）/朱峰/付翔/汪海刚/姜柏任（执行导演）/,https://www.douban.com/location/drama/26874440/
昆西莫多,,,林文尹/,https://www.douban.com/location/drama/25795319/
新社员,,,黃緣文/黃緣文/黃緣文/,https://www.douban.com/location/drama/26264879/
利维坦2.0,,,黃緣文/,https://www.douban.com/location/drama/26897344/
我的遗愿清单,7.3,1776,何念/马达/何念/马达/何念/马达/,https://www.douban.com/location/drama/27053754/
中文版长腿叔叔,7.3,1006,朴素英/周笑微/朴素英/周笑微/朴素英/周笑微/,https://www.douban.com/location/drama/30129730/
坠入爱河,5.5,28,成宰浚/王魏/成宰浚/王魏/,https://www.douban.com/location/drama/26849693/
如果,6.8,106,王作文/,https://www.douban.com/location/drama/33387906/
新神笔马良,,,沙建勋/,https://www.douban.com/location/drama/26414738/
我，小王子,,,叶逊谦 William Yip/,https://www.douban.com/location/drama/26393145/
番茄不简单,7.2,242,武雨泽/魏诗泉（音乐）/刘艾（舞蹈）/武雨泽，魏诗泉（音乐）， 刘艾（舞蹈）/武雨泽/魏诗泉（音乐）/刘艾（舞蹈）/武雨泽，魏诗泉（音乐）， 刘艾（舞蹈）/,https://www.douban.com/location/drama/25928772/
都是當兵惹的禍,,,羅北安/李小平/林于竣/羅北安/李小平/羅北安/羅北安/林于竣/,https://www.douban.com/location/drama/23715352/
黑道害我真命苦,,,羅北安/,https://www.douban.com/location/drama/23715355/
查理与巧克力工厂,8.1,219,Sam Mendes/,https://www.douban.com/location/drama/22224402/
献给阿尔吉侬的花束,7.7,392,Anne Kessler/李泫圭/Anne Kessler/李泫圭/,https://www.douban.com/location/drama/25842376/
少年台湾,7.1,181,符宏征/,https://www.douban.com/location/drama/25731421/
双城恋曲,,,未知/,https://www.douban.com/location/drama/19899739/
摇滚芭比,9.1,147,Peter Askin/Michael Mayer/Brook Hall/李智娜/ヨリコ ジュン/Peter Askin/Michael Mayer/Brook Hall/李智娜/ヨリコ ジュン/,https://www.douban.com/location/drama/11511070/
美味型男,6.5,47,梁允睿/梁允睿/梁允睿/,https://www.douban.com/location/drama/11613219/
嬉戲‧百老匯V-I AM WHAT I AM,,,曾慧诚/,https://www.douban.com/location/drama/20472011/
受不了，我就是瘦不了,,,何康国/,https://www.douban.com/location/drama/26677094/
聊斋,6.5,122,郭践红/,https://www.douban.com/location/drama/33379611/
老九,,,郭践红/,https://www.douban.com/location/drama/11968730/
下午，美术馆里的四个人,9.2,12,郑智文/,https://www.douban.com/location/drama/25712548/
渭水春风,,,符宏征/符宏征/符宏征/,https://www.douban.com/location/drama/10944726/
魔笛狂想,,,單承矩/,https://www.douban.com/location/drama/10944720/
台湾有个好莱坞,,,杨景翔/,https://www.douban.com/location/drama/34433081/
第十二夜,,,吕柏伸/,https://www.douban.com/location/drama/34848581/
情人哏里出西施,,,謝念祖/,https://www.douban.com/location/drama/26196796/
幸运儿,,,威拉德-贝克汉姆(Willard Beckham)/,https://www.douban.com/location/drama/10944718/
看見太阳,,,梁志民/梁志民/梁志民/,https://www.douban.com/location/drama/23227175/
天使-不夜城,,,梁志民/梁志民/梁志民/,https://www.douban.com/location/drama/23167412/
吻我吧娜娜,5.3,13,梁志民/梁志民/梁志民/,https://www.douban.com/location/drama/23172532/
跑路天使,,,梁志民/,https://www.douban.com/location/drama/11533567/
爱神怕不怕,,,梁志民/,https://www.douban.com/location/drama/23231065/
俏红娘,8.2,186,Gower Champion/Lucia Victor/Lee Roy Reams/梁志民/陈敢权/Gower Champion/Lucia Victor/Lucia Victor/Lee Roy Reams/梁志民/陈敢权/陈敢权/Jerry Zaks/,https://www.douban.com/location/drama/10944533/
DIVA 先生的华丽戏剧教室,,,林泽群/Frankie Ho/,https://www.douban.com/location/drama/14311269/
异型金刚,,,林澤群/黃龍斌/Frankie Ho/,https://www.douban.com/location/drama/19951197/
奇幻圣诞夜,,,米高．杜本 Michael Dobbin (加拿大 Canada)/,https://www.douban.com/location/drama/11632548/
动物农庄,,,葉遜謙/,https://www.douban.com/location/drama/11632617/
蜘蛛女之吻,,,邓树荣/,https://www.douban.com/location/drama/20285320/
一笼傻鸟,8.5,38,Arthur Laurents/Jerry Zacks/Terry Johnson/山田和也/陳敢權/Arthur Laurents/Jerry Zacks/Terry Johnson/山田和也/陳敢權/,https://www.douban.com/location/drama/10944553/
山中方七日,,,周偉強/,https://www.douban.com/location/drama/19950263/
雪后,,,彭鎮南/,https://www.douban.com/location/drama/19951336/
边城,8.0,13,彭鎮南/,https://www.douban.com/location/drama/10944704/
博到单车变摩托@真的散band了,,,陳淑儀/,https://www.douban.com/location/drama/19951250/
星梦尘缘,,,彭镇南/,https://www.douban.com/location/drama/17056363/
恋爱轻飘飘,6.7,75,彭镇南/,https://www.douban.com/location/drama/16676348/
美丽的一天,,,彭镇南/,https://www.douban.com/location/drama/24752999/
朝暮有情人,7.1,60,彭镇南/,https://www.douban.com/location/drama/27185952/
没有人造卫星相撞的夜空,,,陈永泉/,https://www.douban.com/location/drama/25803389/
囍帖街,,,王敏豪/,https://www.douban.com/location/drama/11632611/
夢斷維港,,,余振球/,https://www.douban.com/location/drama/19975782/
阿森与莎莉的花Far世界,,,梁榮忠/彭鎮南/,https://www.douban.com/location/drama/19951328/
戀上你的歌,,,張可堅/,https://www.douban.com/location/drama/19975726/
那时…爱你…快5年,,,陳永泉/,https://www.douban.com/location/drama/10944713/
喜灵州……分享夜,,,余振球/,https://www.douban.com/location/drama/25853756/
利玛窦,7.3,17,刘松仁/,https://www.douban.com/location/drama/33421950/
天生不是女人,,,王嘉翊/陈健豪/,https://www.douban.com/location/drama/11612857/
遇上1941的女孩,,,彭镇南/,https://www.douban.com/location/drama/26757197/
野玫瑰之恋,,,王嘉翊/,https://www.douban.com/location/drama/19951354/
神勇女杀手决战霹雳黑玫瑰,,,王嘉翊/,https://www.douban.com/location/drama/24704175/
孙中山革命前传,,,余健生/,https://www.douban.com/location/drama/20452323/
旭日,,,余健生/,https://www.douban.com/location/drama/17396201/
MISS 杜十娘,,,黄树辉/,https://www.douban.com/location/drama/19897740/
點點隔世情,,,張可堅/,https://www.douban.com/location/drama/19975557/
细味人生,,,黃樹輝/,https://www.douban.com/location/drama/19975541/
车你好冇,,,彭镇南/,https://www.douban.com/location/drama/19894031/
富贵逼人,,,未知/,https://www.douban.com/location/drama/21330658/
大家乐,,,王嘉翊/,https://www.douban.com/location/drama/14330616/
我的快乐时代,,,焦媛/,https://www.douban.com/location/drama/11632615/
思缠酒后……,,,温昊翁/,https://www.douban.com/location/drama/24704167/
圣诞袜语,,,未知/,https://www.douban.com/location/drama/14332589/
上司爱窃听,,,黄丽萍/钱德顺/,https://www.douban.com/location/drama/25712541/
潮州姑爷,,,劉浩翔/郭志偉/劉浩翔/郭志偉/,https://www.douban.com/location/drama/10944714/
天堂之后,,,方家煌/,https://www.douban.com/location/drama/26370634/
我要高8度,,,方俊杰/,https://www.douban.com/location/drama/26597469/
大状王,,,方俊杰/,https://www.douban.com/location/drama/34950165/
辉煌音乐剧,,,高志森/,https://www.douban.com/location/drama/26667714/
語無「麟」次,,,高志森/,https://www.douban.com/location/drama/20285293/
风之后,,,李伟祥/,https://www.douban.com/location/drama/24851636/
顺流逆流,,,王嘉翊/,https://www.douban.com/location/drama/25920003/
彼平正传,8.1,140,Bob Fosse/Diane Paulus/Bob Fosse/Diane Paulus/Diane Paulus/,https://www.douban.com/location/drama/11516602/
贵妇人的访问,,,山田和也/,https://www.douban.com/location/drama/26587552/
ディートリッヒ,,,吉川徹/,https://www.douban.com/location/drama/21762872/
守财奴,,,未知/井上尊晶/未知/未知/未知/井上尊晶/,https://www.douban.com/location/drama/21339680/
ジキルとハイド,,,山田和也/,https://www.douban.com/location/drama/26746973/
小气财神,,,井上尊晶/,https://www.douban.com/location/drama/34955493/
Lady Bess,7.8,22,小池修一郎/小池修一郎/小池修一郎/,https://www.douban.com/location/drama/25867728/
基督山伯爵,,,ジャック・マーフィ/,https://www.douban.com/location/drama/25807192/
伊丽莎白,9.5,4370,Harry Kupfer/Eddy Habbema/刘路/江珊/엄홍현/Harry Kupfer/Eddy Habbema/Eddy Habbema/Harry Kupfer/刘路/江珊/Harry Kupfer/엄홍현/Harry Kupfer/小池修一郎/Harry Kupfer/章博森/章博森/,https://www.douban.com/location/drama/1825726/
伊丽莎白,9.1,128,小池修一郎/,https://www.douban.com/location/drama/26895350/
ラブ・ネバー・ダイ,,,Simon Phillips/,https://www.douban.com/location/drama/25854949/
スウィーニー・トッド ～フリート街の悪魔の理髪師～,,,宮本亜門/,https://www.douban.com/location/drama/26724628/
蝴蝶梦,9.1,927,Francesca Zambello/许梅/김문정/Andreas Gergen/Francesca Zanbello/Francesca Zambello/许梅/김문정/김문정/Andreas Gergen/Francesca Zanbello/Francesca Zanbello/Francesca Zanbello/,https://www.douban.com/location/drama/10944628/
木兰少女,6.7,21,吕柏伸/蔡柏璋/吕柏伸/蔡柏璋/吕柏伸/,https://www.douban.com/location/drama/20277833/
情尽夜上海,,,梁志民/,https://www.douban.com/location/drama/23173964/
搭错车,6.4,103,曾慧诚/高志森/曾慧诚/高志森/,https://www.douban.com/location/drama/30281873/
爱情有什么道理,,,春禾剧团/,https://www.douban.com/location/drama/10944695/
再一次，梦想,,,高天恒/,https://www.douban.com/location/drama/27179542/
下午，美术馆里的四个人,,,郑智文/,https://www.douban.com/location/drama/26646801/
雨港基隆,,,徐宏愷/,https://www.douban.com/location/drama/33397889/
因为爱情2,6.7,103,小柯/,https://www.douban.com/location/drama/26351301/
你说我容易吗之百万约定,7.1,89,小柯/,https://www.douban.com/location/drama/26700882/
我变了，我没变,6.5,62,柯肇雷/,https://www.douban.com/location/drama/30164530/
毛毛带你飞,10.0,16,张文潇/,https://www.douban.com/location/drama/34428632/
《吉屋出租》中文版,7.3,487,Trey Ellett/石路/,https://www.douban.com/location/drama/34927943/
